Country,Trek_Name
Albania,Peaks of the Balkans
Canada,Pacific Crest
Spain,Camino de Santiago
France,Mount Blanc
Georgia,Mestia-Ushguli
Georgia,Omalo-Shatili
India,Kheer Ganga
India,Roopkund
Iran,The Silk Road
Israel,Israel Trail
Italy,Mount Blanc
Japan,Fuji Mountain
Kosovo,Peaks of the Balkans
Mongolia,The Silk Road
Montenegro,Peaks of the Balkans
Nepal,Annapurna
Nepal,EBC
Nepal,Langtang
Nepal,The Frozen Lakes
New Zealand,Kepler
New Zealand,Milford
New Zealand,Tongariro
Peru,huayhuash
Peru,Santa Cruz
Spain,Camino de Santiago
Switzerland,Mount Blanc
Tajijistan,The Silk Road
Turkey,The Silk Road
USA,Pacific Crest
